,Expected Annual Damage,Total Investment Costs,Expected Number of Deaths
184,147460101.03441918,1794579999.9780962,0.2733587192210753
185,183773625.82426548,1794579999.9780962,0.15524497985615496
186,452983333.3516874,1794579999.9780962,1.1003286495462743
187,33927056.08013045,1794579999.9780962,0.09009651081458196
188,37829243.064744525,1794579999.9780962,0.06604078048464507
189,50907499.94994871,1794579999.9780962,0.06654626947539177
190,61877324.50197345,1794579999.9780962,0.07542779311833107
191,72640556.81938356,1794579999.9780962,0.10064510789576574
192,502777444.70627856,1794579999.9780962,0.33487713261480123
193,47242146.104403265,1794579999.9780962,0.07522621553594673
194,17461845.890484445,1794579999.9780962,0.03667909049148571
195,141209073.4854043,1794579999.9780962,0.12853493814016823
196,48073447.739287645,1794579999.9780962,0.09810619059875236
197,194208064.17054313,1794579999.9780962,0.1464974781344835
198,118818707.13975972,1794579999.9780962,0.14283311206257118
199,14941632.074659774,1794579999.9780962,0.020674741795891974
