,Expected Annual Damage,Total Investment Costs,Expected Number of Deaths
152,0.0,2201011096.019763,0.0
153,0.0,2201011096.019763,0.0
154,0.0,2201011096.019763,0.0
155,0.0,2201011096.019763,0.0
156,0.0,2201011096.019763,0.0
157,0.0,2201011096.019763,0.0
158,0.0,2201011096.019763,0.0
159,0.0,2201011096.019763,0.0
160,0.0,2201011096.019763,0.0
161,5567462.016745843,2201011356.9930706,0.0013690582792448914
162,21875274.15893959,2201012522.9195156,0.004612858575911857
163,20107778.496862423,2201012052.0326786,0.0030574713566289386
164,0.0,2201011096.019763,0.0
165,2833018.6089709215,2201011245.185074,0.0005147894831354192
166,0.0,2201011096.019763,0.0
167,0.0,2201011096.019763,0.0
168,0.0,2201011096.019763,0.0
169,0.0,2201011096.019763,0.0
170,2897754.6374353627,2201011243.6722994,0.0005010836513829592
171,0.0,2201011096.019763,0.0
172,3204868.7361891232,2201011245.529544,0.0005179104042300753
173,0.0,2201011096.019763,0.0
174,0.0,2201011096.019763,0.0
175,0.0,2201011096.019763,0.0
176,0.0,2201011096.019763,0.0
177,0.0,2201011096.019763,0.0
178,107017920.55867732,2201014652.696965,0.011024357765846003
179,38235170.09829709,2201012516.9009933,0.004558330392872464
180,0.0,2201011096.019763,0.0
181,0.0,2201011096.019763,0.0
182,0.0,2201011096.019763,0.0
183,2578700.884822398,2201011245.2203836,0.0005151093925069987
184,0.0,2201011096.019763,0.0
185,0.0,2201011096.019763,0.0
186,20207848.806773372,2201011864.5205083,0.0020816030052281755
187,0.0,2201011096.019763,0.0
188,0.0,2201011096.019763,0.0
189,19312505.236573815,2201011727.923567,0.0020773616960814154
190,0.0,2201011096.019763,0.0
191,0.0,2201011096.019763,0.0
192,0.0,2201011096.019763,0.0
193,0.0,2201011096.019763,0.0
194,0.0,2201011096.019763,0.0
195,0.0,2201011096.019763,0.0
196,0.0,2201011096.019763,0.0
197,0.0,2201011096.019763,0.0
198,0.0,2201011096.019763,0.0
199,0.0,2201011096.019763,0.0
200,56458146.62724935,2220912235.3025246,0.0090409763427135
201,159333494.04545772,2220916833.311434,0.016278516241129838
202,138884800.58488104,2220913744.0615587,0.011052285930200745
203,25963170.401525907,2220909292.8124065,0.004257095704144653
204,36925701.23906135,2220908431.349388,0.0030947659302793945
205,7477207.5612263335,2220907311.717311,0.0008379345488892145
206,0.0,2220906917.9954367,0.0
207,14066543.59071781,2220907488.8270645,0.0012171286616175351
208,3864332.8108377787,2220907119.863405,0.0004441566576541267
209,22557535.86509787,2220908291.055294,0.002411231974936345
210,8035342.993720521,2220907651.596355,0.0013399889946576645
211,45677256.17799439,2220909067.7482424,0.003763137277268894
212,147875050.49880424,2220917222.635813,0.018505644438901285
213,111093778.96317844,2220913888.773514,0.011907538843235362
214,117174929.79763304,2220914261.6203756,0.012128046954481792
215,150679921.02697068,2220922023.8281565,0.02337036789963643
216,75811030.04539107,2220914241.6337557,0.012082962207528174
217,3486920.1584881814,2220907146.81903,0.0005018383721769837
218,0.0,2220906917.9954367,0.0
219,16819496.53975061,2220907807.0961924,0.0018611534697652648
220,12067169.460787315,2220907407.8219194,0.0010432281730758837
221,198779229.98513806,2220923423.975501,0.02508996759560542
222,316375661.8108127,2220920513.1016564,0.024262866439961683
223,9238777.508429613,2220907613.4310093,0.0012184742292141836
224,4969851.969017591,2220907118.6503925,0.00043707978226732063
225,82694214.48473948,2220911766.2298164,0.00873640027845888
226,4830498.906589609,2220907270.419717,0.0006702681637754314
227,90171539.13705629,2220910705.8936033,0.00729882827688741
228,16873512.69995349,2220907809.1114097,0.0018729105127516992
229,300281914.89563644,2220922057.7395773,0.023456648220057583
230,3350462.0018100343,2220907173.3072243,0.00045453770640159973
231,164957185.34404412,2220917483.8786793,0.016986422395533052
232,250140052.824615,2220924381.8120613,0.030800887821561956
233,5182171.520943996,2220907298.3501024,0.0007157549995105217
234,42345230.16287719,2220908920.243664,0.003467303615122354
235,16629761.690720169,2220907800.017625,0.0018198561845140194
236,76942251.9800699,2220911683.1189146,0.008112098135024497
237,136254046.54990193,2220916219.467206,0.01718546275160356
238,1145347.6778322987,2220907009.7399893,0.00020058673219251413
239,32959305.65276099,2220908896.2799435,0.003531564640126804
240,16357500.60544293,2220908402.576498,0.0027183239916095817
241,6311313.931722587,2220907473.9259596,0.0010649229401654282
242,70982981.16236396,2220910774.7038903,0.00756440631440426
243,1393669.28403059,2220907009.5838203,0.0001996756209380425
244,73163179.52316399,2220910360.6331015,0.005977001213939927
245,13469816.214063363,2220908167.823075,0.0022139487773809832
246,16031823.87843948,2220908160.498455,0.0021314645837190197
247,70280483.7034378,2220910745.726281,0.00745185632390338
248,13421078.487687193,2220907808.1085873,0.001867059914938957
249,4849163.195163369,2220907271.831609,0.0006726258110396229
250,18452815.536511283,2220908422.696681,0.003055545427258809
251,1407955.7960122249,2220907010.252857,0.00020357887035666447
252,123331445.7298849,2220914592.9547195,0.012846260030226223
253,32570580.775331832,2220908925.06328,0.003457781974529581
254,1799064.0090117198,2220907011.4372253,0.00021048862546655257
255,309808623.82940954,2220920420.6606693,0.024022289122780562
256,33650558.67903748,2220908485.084854,0.0028036910898844134
257,75777566.12096453,2220910466.709796,0.006201174703912526
258,7116479.343144151,2220907206.2931395,0.0006191676202423959
259,5425004.465425714,2220907203.984108,0.0006056964287277801
260,89220359.58708054,2220914016.2939835,0.011615933317958913
261,42463812.24461777,2220910209.634941,0.005636550791272176
262,154446861.90614364,2220914361.582179,0.012353943669530413
263,85163860.57615545,2220913741.711088,0.011031325106136056
264,5002528.525120332,2220907119.5903234,0.00044256346367915213
265,60221135.41935688,2220912668.961789,0.009616300057327281
266,21747136.58105063,2220907805.1495614,0.0018497965722481151
267,164552864.5275896,2220920796.8739038,0.024911820621955343
268,18517597.164312366,2220908426.6258764,0.003073429268788175
269,8610453.540433597,2220907487.434556,0.0012090045883159065
270,21691577.255125657,2220907803.5514145,0.0018404727731956465
271,5599979.564779569,2220907179.746539,0.00046740366323692114
272,255110090.9575039,2220933600.981546,0.03838363568505772
273,445770389.0175337,2220926923.0633407,0.035110725888262646
274,1173603.0859093177,2220907011.353924,0.00021000263609777847
275,32470956.288862698,2220909107.422297,0.0043232162814575426
276,73045748.60508457,2220912853.4790287,0.011313760329803638
277,7201855.07937535,2220907208.748946,0.0006334951196373887
278,47501205.413099505,2220908872.532319,0.003943440595964378
279,22022855.851005398,2220908857.1472645,0.0036368262461736606
280,36807191.944372125,2220909148.857095,0.0039419991995357775
281,21842907.765481237,2220908975.1690755,0.003557894949054376
282,21884869.59595393,2220907809.1114097,0.0018729105127516992
283,26825420.149464943,2220908979.2169604,0.003584123688130226
284,7438190.341302887,2220907310.261669,0.0008294421434659458
285,12041664.762461184,2220907407.0882845,0.0010389480512758493
286,1426395.0759686278,2220907011.1163683,0.000208616706664236
287,49062286.092092305,2220909176.8801894,0.004389832306031786
288,9997228.353631113,2220907547.1943665,0.0017274876081243627
289,3954382.6655924344,2220907269.8191814,0.0006696142758567141
290,9358059.450551398,2220907409.840951,0.0010550074640954888
291,8992556.441206887,2220907561.0723047,0.001243112003186143
292,7357085.709713879,2220907248.395215,0.0006230695224776192
293,35184867.63042092,2220910242.0545626,0.005702412331657729
294,43252914.48839892,2220908753.5419836,0.0035604080093023854
295,41196983.19976299,2220908784.8519964,0.0034187443105020447
296,6521211.788564805,2220907299.278513,0.0007176941321636752
297,81878553.77675737,2220914708.656932,0.013081673570904428
298,24328548.75031281,2220909184.122576,0.003997899820629398
299,30180380.83307168,2220909582.1048017,0.0056390792347875114
300,0.0,2220906917.9954367,0.0
301,7824472.286036903,2220907630.5942955,0.0013078460092975966
302,6353106.548412424,2220907289.7177505,0.0006978711715713422
303,47599280.355075635,2220908875.5575275,0.003956596252582527
304,4868792.909941508,2220907211.424547,0.0005306973309459291
305,96942709.8478648,2220913991.766671,0.012582580151928174
306,35883032.27773868,2220908842.699896,0.0038175527176499747
307,6365717.857385508,2220907213.680912,0.0005352056205163249
308,0.0,2220906917.9954367,0.0
309,5038051.688158146,2220907250.6409874,0.0007111021859330809
310,152099391.065091,2220919302.499017,0.019481407944218713
311,25450535.65705444,2220908868.5652485,0.003374469217200048
312,1169260.6565421082,2220907011.1058865,0.0002085555539135258
313,44814600.68009726,2220910385.122341,0.005972672428035132
314,60733495.87448293,2220910706.9242334,0.006368140650449125
315,20536757.340542484,2220908860.227497,0.003328238017326878
316,105849811.12658705,2220914182.909423,0.013596107523973158
317,18439811.91638899,2220908312.277816,0.0025067702236806493
318,81740067.16686086,2220910564.0503244,0.008070477167662796
319,51702794.33698742,2220910128.1109037,0.005451499076829371
320,2291525.5495975236,2220907010.2333555,0.0002034650937927381
321,4887948.040535759,2220907311.957116,0.0008393336045572474
322,45000425.76653682,2220910389.9130945,0.006002935439888047
323,19543760.006113425,2220908114.966837,0.0020902237398975855
324,36516069.84661173,2220908418.8204927,0.0030380943023207135
325,209873665.69129458,2220924419.1564684,0.030936930871921158
326,61879967.51795657,2220911687.7200546,0.008116540945365163
327,53516784.8893224,2220909127.793495,0.004407030159503361
328,47122343.06577621,2220910780.660593,0.0075878383211907905
329,13283823.314334538,2220907801.68093,0.0018295601265875185
330,18346070.089979082,2220907764.513881,0.0015363434691139089
331,61722884.36323688,2220911699.388732,0.008162839399090805
332,100068432.21614558,2220916834.8476562,0.015639444931684336
333,164430640.64761403,2220920722.704504,0.020604120059511892
334,16822584.174517345,2220907807.211385,0.001861825517806861
335,118840250.28100947,2220916626.3640304,0.015182675988081715
336,2319391.3315895535,2220907011.0349064,0.00020814144555561642
337,13460549.44814182,2220907809.957011,0.0018778438630184483
338,25250345.9026222,2220909252.271597,0.004156214560254303
339,8391198.054105036,2220907638.2173176,0.0014228023031111038
340,4582391.834933467,2220907194.962927,0.000497806490595707
341,24151006.149882574,2220909168.443135,0.003966966638056388
342,33371216.108565614,2220908408.460743,0.0027907126678495286
343,28075778.33595905,2220908415.7014294,0.003024027177657365
344,24208382.708294813,2220909163.441658,0.003972372801882969
345,19913982.022301976,2220907694.056752,0.0022492923750967253
346,420750583.69989693,2220925619.2618794,0.032958580939540356
347,16490123.239387712,2220908096.5429277,0.0026088573189837014
348,30790241.97572363,2220908333.7538013,0.0025694048161478233
349,29955695.801022917,2220908624.6617994,0.0032393103452369038
350,13647240.969729045,2220907952.476948,0.0018440831604035568
351,22922539.68289581,2220909012.115571,0.003778402505756056
352,24592866.770755578,2220909207.3017035,0.004044786678901475
353,73829199.18821505,2220910393.4269447,0.006042089335258072
354,17337813.975251254,2220908168.3839827,0.002704441699505414
355,97216227.73196423,2220911588.5951467,0.007883464600146215
356,14655496.559577497,2220908261.9682655,0.002418477454142891
357,15091109.226316035,2220908033.913911,0.0020702651054534003
358,45144125.281654045,2220908996.42896,0.0037115322786140242
359,48750504.83723303,2220909203.5665483,0.004037170525404505
360,36550651.27849018,2220908419.8790483,0.003042864726363721
361,26682393.83903178,2220909111.1853676,0.004338728377325846
362,168905129.95969447,2220920957.327223,0.02530872099588711
363,190780132.52558902,2220920231.583195,0.023340758505292526
364,4911084.154552649,2220907313.278639,0.0008470435419161576
365,166370066.982545,2220919824.6560545,0.021366274934790465
366,54280584.756732434,2220910256.7391014,0.005744517823247643
367,16852211.553131636,2220907808.3167133,0.0018682741502649121
368,7189720.505867689,2220907208.3998985,0.0006314587319906842
369,29718156.1601892,2220909187.2555246,0.00400451861747985
370,49314822.79418208,2220909575.7924623,0.005195881098703992
371,5985304.88794951,2220907313.051731,0.0008457197299418216
372,55079228.09295769,2220909891.8357277,0.00590935184821469
373,2268944.565576624,2220907009.5838203,0.0001996756209380425
374,107654656.42323749,2220917436.5200357,0.01689987847070685
375,17889749.15123631,2220908568.0038977,0.002970282269128174
376,12145077.643815538,2220907827.496253,0.0016638653624996601
377,11582537.31738255,2220907528.6519938,0.0012927476471408655
378,453341193.7408115,2220926834.1466956,0.0355623123507921
379,313238238.66207963,2220920484.0757136,0.02415789054655574
380,111679973.27075374,2220912344.4368134,0.008928140331451204
381,10401870.409444055,2220907549.6841717,0.0011237585848199686
382,26470575.0717998,2220908953.470496,0.003533711292252358
383,44703785.62791454,2220910836.325392,0.0071876955606579584
384,16793763.341935333,2220907806.136146,0.0018555524364493785
385,2329441.9338631984,2220907011.324009,0.00020982810741473074
386,487872498.4888679,2220932911.865774,0.03707663449784195
387,22487952.277517483,2220908421.7334113,0.0030512076927929283
388,1761524.998347251,2220907010.0367317,0.00020231796393873082
389,189824921.18165433,2220914986.8270173,0.014907546241758454
390,23233371.328443572,2220909087.878725,0.0038046645906264728
391,1791584.8840359764,2220907011.1581964,0.0002088607349702557
392,6092433.922287729,2220907408.710148,0.0010484102149217484
393,35109045.37520214,2220910135.295436,0.005688855808849303
394,12041200.799797555,2220907407.074939,0.0010388701904564185
395,14097808.762041029,2220907518.936679,0.0012052942411112085
396,36890847.79240947,2220909145.2735558,0.003948234885110473
397,2323566.5368771455,2220907011.1550045,0.00020884211595534167
