,A.0_ID flood wave shape,A.1_Bmax,A.1_Brate,A.1_pfail,A.2_Bmax,A.2_Brate,A.2_pfail,A.3_Bmax,A.3_Brate,A.3_pfail,A.4_Bmax,A.4_Brate,A.4_pfail,A.5_Bmax,A.5_Brate,A.5_pfail,discount rate 0,discount rate 1,discount rate 2,0_RfR 0,0_RfR 1,0_RfR 2,1_RfR 0,1_RfR 1,1_RfR 2,2_RfR 0,2_RfR 1,2_RfR 2,3_RfR 0,3_RfR 1,3_RfR 2,4_RfR 0,4_RfR 1,4_RfR 2,A.1_DikeIncrease 0,A.1_DikeIncrease 1,A.1_DikeIncrease 2,A.2_DikeIncrease 0,A.2_DikeIncrease 1,A.2_DikeIncrease 2,A.3_DikeIncrease 0,A.3_DikeIncrease 1,A.3_DikeIncrease 2,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.4_DikeIncrease 2,A.5_DikeIncrease 0,A.5_DikeIncrease 1,A.5_DikeIncrease 2,EWS_DaysToThreat,scenario,policy,model
10,99.0,255.20415777959732,1.0,0.37362618946561654,252.3805350727255,1.5,0.7652783195691619,217.4867747547321,1.0,0.4467164138370434,314.38539601559637,10,0.5542202307582403,193.03999743477337,1.5,0.6045764451523445,4.5,2.5,1.5,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,2.0,10.0,7.0,5.0,0.0,5.0,8.0,2.0,8.0,9.0,7.0,10.0,9.0,7.0,3.0,2.0,210,4,dikesnet
11,107.0,171.11532134107028,10,0.36557130470843724,312.860041727404,1.5,0.736645653172593,119.79669505650335,10,0.8249428901426807,199.53165043095078,1.0,0.14654866679065648,144.0001804050793,10,0.2877485224765909,1.5,4.5,3.5,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,2.0,10.0,7.0,5.0,0.0,5.0,8.0,2.0,8.0,9.0,7.0,10.0,9.0,7.0,3.0,2.0,211,4,dikesnet
12,1.0,134.41048781840834,10,0.3972061910215422,180.83117722462092,1.0,0.04474602680719009,331.6713587826248,1.0,0.5132072656563388,332.2508626449999,1.5,0.903584335440148,175.14965128304294,1.0,0.21626251244728312,3.5,3.5,3.5,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,2.0,10.0,7.0,5.0,0.0,5.0,8.0,2.0,8.0,9.0,7.0,10.0,9.0,7.0,3.0,2.0,212,4,dikesnet
13,94.0,116.44833128240126,10,0.4019801505978884,122.53346196140406,10,0.3393199854185933,52.18465460848858,1.5,0.010112028300178877,322.99627950066616,1.0,0.43299530710805034,268.5300038256901,10,0.045320929230141416,2.5,1.5,3.5,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,2.0,10.0,7.0,5.0,0.0,5.0,8.0,2.0,8.0,9.0,7.0,10.0,9.0,7.0,3.0,2.0,213,4,dikesnet
14,77.0,98.71430298861142,1.0,0.452425804311398,182.0689069829525,1.0,0.3344159880608263,300.7638125841083,1.5,0.8844890389104414,334.8004088768101,1.0,0.7025996743328112,95.19103633604566,10,0.06082027859553507,2.5,2.5,3.5,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,2.0,10.0,7.0,5.0,0.0,5.0,8.0,2.0,8.0,9.0,7.0,10.0,9.0,7.0,3.0,2.0,214,4,dikesnet
15,45.0,228.20700388936768,10,0.6319203878526728,159.44119949748793,1.0,0.6391478145911682,277.6607869818765,10,0.6036874507548712,266.796384453672,1.0,0.9864273699613918,243.91812114354758,10,0.019147842112443247,4.5,4.5,4.5,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,2.0,10.0,7.0,5.0,0.0,5.0,8.0,2.0,8.0,9.0,7.0,10.0,9.0,7.0,3.0,2.0,215,4,dikesnet
16,68.0,172.06099506898028,1.5,0.955847436124092,72.12639547712112,1.5,0.9135991889029078,48.84544403177539,1.0,0.19975787831080283,258.486853780757,10,0.43050564723465623,138.24720776328115,1.0,0.10265019604728232,4.5,4.5,4.5,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,2.0,10.0,7.0,5.0,0.0,5.0,8.0,2.0,8.0,9.0,7.0,10.0,9.0,7.0,3.0,2.0,216,4,dikesnet
17,45.0,251.5890917559722,10,0.44005058586645285,160.48983446662047,1.5,0.692619730151203,292.92161160920256,1.5,0.1243627371893482,235.6086429288747,1.0,0.13146229481628402,259.0850320358134,1.5,0.7889675881400197,3.5,4.5,3.5,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,2.0,10.0,7.0,5.0,0.0,5.0,8.0,2.0,8.0,9.0,7.0,10.0,9.0,7.0,3.0,2.0,217,4,dikesnet
18,17.0,185.84531952876114,1.5,0.5743247515611338,174.27794650973524,1.0,0.983239097425603,341.1285088332878,1.5,0.3100395501350677,187.6350257729804,1.0,0.5602331979317148,98.35813536620833,1.0,0.9721557962225515,1.5,1.5,2.5,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,2.0,10.0,7.0,5.0,0.0,5.0,8.0,2.0,8.0,9.0,7.0,10.0,9.0,7.0,3.0,2.0,218,4,dikesnet
19,121.0,46.10587193636608,10,0.821668650405916,214.21764509927613,1.5,0.3654877869004284,344.00036030539775,1.5,0.8563623187235585,55.363544850679496,1.5,0.9492705395091289,319.33070354286133,1.0,0.6982192802854886,2.5,1.5,3.5,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,2.0,10.0,7.0,5.0,0.0,5.0,8.0,2.0,8.0,9.0,7.0,10.0,9.0,7.0,3.0,2.0,219,4,dikesnet
20,53.0,245.11114783533293,1.5,0.4789508199323632,71.2837860903011,1.5,0.4296165912296245,300.8194062849338,1.0,0.44602767947902466,140.70815768073984,1.0,0.20509547712416465,135.07931966539374,1.5,0.7669550592332353,1.5,3.5,1.5,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,2.0,10.0,7.0,5.0,0.0,5.0,8.0,2.0,8.0,9.0,7.0,10.0,9.0,7.0,3.0,2.0,220,4,dikesnet
21,34.0,332.3702321514362,10,0.31688905388918476,96.8402718142805,10,0.5950299664429148,106.31488053158783,1.0,0.739210550623412,226.3637403152862,10,0.27320190655556054,63.73593245718798,1.0,0.016087072111898748,3.5,2.5,4.5,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,2.0,10.0,7.0,5.0,0.0,5.0,8.0,2.0,8.0,9.0,7.0,10.0,9.0,7.0,3.0,2.0,221,4,dikesnet
22,128.0,223.81725851919566,10,0.12523758498875748,234.6679814965843,10,0.046981294497592585,292.86695763491997,1.5,0.953895273423522,272.5873417326726,1.0,0.5783154310668563,280.0362455898528,10,0.19841322243161563,1.5,1.5,2.5,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,2.0,10.0,7.0,5.0,0.0,5.0,8.0,2.0,8.0,9.0,7.0,10.0,9.0,7.0,3.0,2.0,222,4,dikesnet
23,23.0,269.4174253532998,10,0.341273529065513,218.9798266594751,10,0.8721495397495969,292.3968160217605,10,0.6538681790667934,77.55888882650086,10,0.010142737984404127,154.36180337826607,1.0,0.6665718815973324,3.5,1.5,2.5,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,2.0,10.0,7.0,5.0,0.0,5.0,8.0,2.0,8.0,9.0,7.0,10.0,9.0,7.0,3.0,2.0,223,4,dikesnet
24,39.0,127.2870837918996,1.0,0.6592101338394624,193.87284307998885,1.0,0.6544413755557491,135.99031788868982,1.0,0.6703163712340091,130.0964679958973,1.0,0.7783300756016345,169.3016948293257,1.5,0.6648066986924484,1.5,2.5,1.5,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,2.0,10.0,7.0,5.0,0.0,5.0,8.0,2.0,8.0,9.0,7.0,10.0,9.0,7.0,3.0,2.0,224,4,dikesnet
25,82.0,197.8822107117324,10,0.16479968711194803,35.52807948742139,1.0,0.19295072115725564,310.25236853509983,1.5,0.15757927694565432,232.3126456330216,10,0.7283647910095172,93.47439792798826,1.0,0.19602548115212914,2.5,3.5,3.5,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,2.0,10.0,7.0,5.0,0.0,5.0,8.0,2.0,8.0,9.0,7.0,10.0,9.0,7.0,3.0,2.0,225,4,dikesnet
26,73.0,42.98992702477712,10,0.23421432267088582,260.4438121112303,10,0.7787054926429992,326.43655507804806,1.0,0.7819717305090755,278.156933051091,1.5,0.8623170518783336,266.1388400207563,10,0.72722089422978,3.5,4.5,1.5,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,2.0,10.0,7.0,5.0,0.0,5.0,8.0,2.0,8.0,9.0,7.0,10.0,9.0,7.0,3.0,2.0,226,4,dikesnet
27,52.0,311.78800916923757,10,0.3608340834332875,75.74115530204682,1.5,0.10642352612457029,154.07970845176138,10,0.7714098032267247,246.1168771538598,10,0.28387816650729913,317.24699794643766,10,0.8826601745863359,1.5,2.5,3.5,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,2.0,10.0,7.0,5.0,0.0,5.0,8.0,2.0,8.0,9.0,7.0,10.0,9.0,7.0,3.0,2.0,227,4,dikesnet
28,104.0,272.59580410686306,1.0,0.4430893316934912,60.52040948349621,1.5,0.3674896740020085,68.97919094238065,1.5,0.5413009911486109,192.58935197678937,1.5,0.7215136868221431,171.54186619800183,1.0,0.509053744823969,2.5,1.5,1.5,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,2.0,10.0,7.0,5.0,0.0,5.0,8.0,2.0,8.0,9.0,7.0,10.0,9.0,7.0,3.0,2.0,228,4,dikesnet
